Cos Distance,x1y1,x2y2
-2.220446049250313e-16,[31. 18. 32.],[31. 18. 32.]
-2.220446049250313e-16,[133.  18.  32.],[133.  18.  32.]
-2.220446049250313e-16,[180.  19.  32.],[180.  19.  32.]
-2.220446049250313e-16,[190.  19.  32.],[190.  19.  32.]
-2.220446049250313e-16,[199.  21.  32.],[199.  21.  32.]
-2.220446049250313e-16,[101.  23.  32.],[101.  23.  32.]
-2.220446049250313e-16,[256.  23.  32.],[256.  23.  32.]
-2.220446049250313e-16,[104.  24.  32.],[104.  24.  32.]
-2.220446049250313e-16,[46. 26. 32.],[46. 26. 32.]
-2.220446049250313e-16,[274.  27.  32.],[274.  27.  32.]
